| time | in |load |address|out |
| 0+   | 00 |  0  |   0   | 00 |
| 1    | 00 |  0  |   0   | 00 |
| 1+   | 00 |  1  |   0   | 00 |
| 2    | 00 |  1  |   0   | 00 |
| 2+   | 6f |  0  |   0   | 00 |
| 3    | 6f |  0  |   0   | 00 |
| 3+   | 6f |  1  |   1   | 00 |
| 4    | 6f |  1  |   1   | 6f |
| 4+   | 6f |  0  |   0   | 00 |
| 5    | 6f |  0  |   0   | 00 |
| 5+   | 21 |  0  |   3   | 00 |
| 6    | 21 |  0  |   3   | 00 |
| 6+   | 21 |  1  |   3   | 00 |
| 7    | 21 |  1  |   3   | 21 |
| 7+   | 21 |  0  |   3   | 21 |
| 8    | 21 |  0  |   3   | 21 |
| 8    | 21 |  0  |   1   | 6f |
| 8+   | 4d |  0  |   1   | 6f |
| 9    | 4d |  0  |   1   | 6f |
| 9+   | 4d |  1  |   7   | 00 |
| 10   | 4d |  1  |   7   | 4d |
| 10+  | 4d |  0  |   7   | 4d |
| 11   | 4d |  0  |   7   | 4d |
| 11   | 4d |  0  |   3   | 21 |
| 11   | 4d |  0  |   7   | 4d |
| 11+  | 4d |  0  |   0   | 00 |
| 12   | 4d |  0  |   0   | 00 |
| 12   | 4d |  0  |   1   | 6f |
| 12   | 4d |  0  |   2   | 00 |
| 12   | 4d |  0  |   3   | 21 |
| 12   | 4d |  0  |   4   | 00 |
| 12   | 4d |  0  |   5   | 00 |
| 12   | 4d |  0  |   6   | 00 |
| 12   | 4d |  0  |   7   | 4d |
| 12+  | 55 |  1  |   0   | 00 |
| 13   | 55 |  1  |   0   | 55 |
| 13+  | 55 |  1  |   1   | 6f |
| 14   | 55 |  1  |   1   | 55 |
| 14+  | 55 |  1  |   2   | 00 |
| 15   | 55 |  1  |   2   | 55 |
| 15+  | 55 |  1  |   3   | 21 |
| 16   | 55 |  1  |   3   | 55 |
| 16+  | 55 |  1  |   4   | 00 |
| 17   | 55 |  1  |   4   | 55 |
| 17+  | 55 |  1  |   5   | 00 |
| 18   | 55 |  1  |   5   | 55 |
| 18+  | 55 |  1  |   6   | 00 |
| 19   | 55 |  1  |   6   | 55 |
