| time | in |load |out |
| 0+   | 00 |  0  | 00 |
| 1    | 00 |  0  | 00 |
| 1+   | 00 |  1  | 00 |
| 2    | 00 |  1  | 00 |
| 2+   | 85 |  0  | 00 |
| 3    | 85 |  0  | 00 |
| 3+   | 6f |  0  | 00 |
| 4    | 6f |  0  | 00 |
| 4+   | 85 |  1  | 00 |
| 5    | 85 |  1  | 85 |
| 5+   | 85 |  1  | 85 |
| 6    | 85 |  1  | 85 |
| 6+   | 85 |  0  | 85 |
| 7    | 85 |  0  | 85 |
| 7+   | 7b |  1  | 85 |
| 8    | 7b |  1  | 7b |
| 8+   | 00 |  0  | 7b |
| 9    | 00 |  0  | 7b |
| 9+   | 00 |  1  | 7b |
| 10   | 00 |  1  | 00 |
| 10+  | 01 |  0  | 00 |
| 11   | 01 |  0  | 00 |
| 11+  | 01 |  1  | 00 |
| 12   | 01 |  1  | 01 |
| 12+  | 02 |  0  | 01 |
| 13   | 02 |  0  | 01 |
| 13+  | 02 |  1  | 01 |
| 14   | 02 |  1  | 02 |
| 14+  | 04 |  0  | 02 |
| 15   | 04 |  0  | 02 |
| 15+  | 04 |  1  | 02 |
| 16   | 04 |  1  | 04 |
| 16+  | 08 |  0  | 04 |
| 17   | 08 |  0  | 04 |
| 17+  | 08 |  1  | 04 |
| 18   | 08 |  1  | 08 |
| 18+  | 10 |  0  | 08 |
| 19   | 10 |  0  | 08 |
| 19+  | 10 |  1  | 08 |
| 20   | 10 |  1  | 10 |
| 20+  | 20 |  0  | 10 |
| 21   | 20 |  0  | 10 |
| 21+  | 20 |  1  | 10 |
| 22   | 20 |  1  | 20 |
| 22+  | 40 |  0  | 20 |
| 23   | 40 |  0  | 20 |
| 23+  | 40 |  1  | 20 |
| 24   | 40 |  1  | 40 |
| 24+  | 7f |  0  | 40 |
| 25   | 7f |  0  | 40 |
