| time | in |load | address |out |
| 0+   | 00 |  0  |      0  | 00 |
| 1    | 00 |  0  |      0  | 00 |
| 1+   | 00 |  1  |      0  | 00 |
| 2    | 00 |  1  |      0  | 00 |
| 2+   | 15 |  0  |      0  | 00 |
| 3    | 15 |  0  |      0  | 00 |
| 3+   | 15 |  1  |   4321  | 00 |
| 4    | 15 |  1  |   4321  | 15 |
| 4+   | 15 |  0  |      0  | 00 |
| 5    | 15 |  0  |      0  | 00 |
| 5+   | 7b |  0  |  12345  | 00 |
| 6    | 7b |  0  |  12345  | 00 |
| 6+   | 7b |  1  |  12345  | 00 |
| 7    | 7b |  1  |  12345  | 7b |
| 7+   | 7b |  0  |  12345  | 7b |
| 8    | 7b |  0  |  12345  | 7b |
| 8    | 7b |  0  |   4321  | 15 |
| 8+   | 80 |  0  |   4321  | 15 |
| 9    | 80 |  0  |   4321  | 15 |
| 9+   | 80 |  1  |  16383  | 00 |
| 10   | 80 |  1  |  16383  | 80 |
| 10+  | 80 |  0  |  16383  | 80 |
| 11   | 80 |  0  |  16383  | 80 |
| 11   | 80 |  0  |  12345  | 7b |
| 11   | 80 |  0  |  16383  | 80 |
| 11+  | 80 |  0  |  10920  | 00 |
| 12   | 80 |  0  |  10920  | 00 |
| 12   | 80 |  0  |  10921  | 00 |
| 12   | 80 |  0  |  10922  | 00 |
| 12   | 80 |  0  |  10923  | 00 |
| 12   | 80 |  0  |  10924  | 00 |
| 12   | 80 |  0  |  10925  | 00 |
| 12   | 80 |  0  |  10926  | 00 |
| 12   | 80 |  0  |  10927  | 00 |
| 12+  | 55 |  1  |  10920  | 00 |
| 13   | 55 |  1  |  10920  | 55 |
| 13+  | 55 |  1  |  10921  | 00 |
| 14   | 55 |  1  |  10921  | 55 |
| 14+  | 55 |  1  |  10922  | 00 |
| 15   | 55 |  1  |  10922  | 55 |
| 15+  | 55 |  1  |  10923  | 00 |
| 16   | 55 |  1  |  10923  | 55 |
| 16+  | 55 |  1  |  10924  | 00 |
| 17   | 55 |  1  |  10924  | 55 |
| 17+  | 55 |  1  |  10925  | 00 |
| 18   | 55 |  1  |  10925  | 55 |
| 18+  | 55 |  1  |  10926  | 00 |
| 19   | 55 |  1  |  10926  | 55 |
| 19+  | 55 |  1  |  10927  | 00 |
| 20   | 55 |  1  |  10927  | 55 |
| 20+  | 55 |  0  |  10920  | 55 |
| 21   | 55 |  0  |  10920  | 55 |
| 21   | 55 |  0  |  10921  | 55 |
| 21   | 55 |  0  |  10922  | 55 |
| 21   | 55 |  0  |  10923  | 55 |
| 21   | 55 |  0  |  10924  | 55 |
| 21   | 55 |  0  |  10925  | 55 |
| 21   | 55 |  0  |  10926  | 55 |
| 21   | 55 |  0  |  10927  | 55 |
| 21+  | aa |  1  |  10920  | 55 |
| 22   | aa |  1  |  10920  | aa |
| 22+  | aa |  0  |  10920  | aa |
| 23   | aa |  0  |  10920  | aa |
| 23   | aa |  0  |  10921  | 55 |
| 23   | aa |  0  |  10922  | 55 |
| 23   | aa |  0  |  10923  | 55 |
| 23   | aa |  0  |  10924  | 55 |
| 23   | aa |  0  |  10925  | 55 |
| 23   | aa |  0  |  10926  | 55 |
| 23   | aa |  0  |  10927  | 55 |
| 23+  | 55 |  1  |  10920  | aa |
| 24   | 55 |  1  |  10920  | 55 |
| 24+  | aa |  1  |  10921  | 55 |
| 25   | aa |  1  |  10921  | aa |
| 25+  | aa |  0  |  10920  | 55 |
| 26   | aa |  0  |  10920  | 55 |
| 26   | aa |  0  |  10921  | aa |
| 26   | aa |  0  |  10922  | 55 |
| 26   | aa |  0  |  10923  | 55 |
| 26   | aa |  0  |  10924  | 55 |
| 26   | aa |  0  |  10925  | 55 |
| 26   | aa |  0  |  10926  | 55 |
| 26   | aa |  0  |  10927  | 55 |
| 26+  | 55 |  1  |  10921  | aa |
| 27   | 55 |  1  |  10921  | 55 |
